,code,listing_date,lot_size,mktcap,offer_price,listing_price,oversub_rate,app_lots_for_one_lot,one_lot_success_rate,last
19,02237.HK,2022/07/18,"10,000",5.20-6.00,0.325-0.375,0.325,25.5,15手,1.290,+143.077%
0,01204.HK,2022/07/15,"2,000",5.40-6.30,1.08-1.26,1.080,9.7,20手,1.210,+12.963%
1,02172.HK,2022/07/15,"1,000",143.57,24.64,24.640,44.3,25手,14.500,-0.162%
2,02418.HK,2022/07/15,"1,500",38.66-46.26,1.78-2.13,1.800,認購不足,1手,0.840,0.000%
3,06661.HK,2022/07/13,500,12.16,6.08,6.080,7.1,12手,5.690,-7.895%
4,06686.HK,2022/07/13,20,95.75,307.00,292.000,2.3,1手,288.000,-4.452%
5,09696.HK,2022/07/13,200,"1,132.44-1,345.80",69.00-82.00,82.000,8.3,1手,52.950,0.000%
6,09896.HK,2022/07/13,200,279.93,22.10,13.800,0.4,2手,35.700,-3.043%
7,02361.HK,2022/07/12,500,24.12-31.32,5.36-6.96,5.360,1.2,3手,4.470,0.000%
8,02385.HK,2022/07/12,400,26.75-35.20,7.60-10.00,7.600,0.7,1手,7.430,-5.263%
9,02297.HK,2022/07/08,"1,000",49.96-72.84,4.28-6.24,6.240,5.4,15手,1.150,-15.385%
10,02376.HK,2022/07/08,500,7.07-10.56,5.30-7.92,5.920,6.4,30手,2.300,-25.169%
11,02392.HK,2022/07/08,500,27.62-38.72,4.93-6.91,6.240,41.1,20手,3.420,+0.641%
12,09955.HK,2022/07/06,100,179.05,30.50,30.500,6.9,4手,7.340,-7.541%
13,02391.HK,2022/07/05,200,0.17,22.80,19.300,9.0,9手,14.900,0.000%
14,06638.HK,2022/07/04,500,N/A,N/A,N/A,N/A,N/A,1.480,+1.887%
15,02167.HK,2022/06/30,200,22.36-24.10,12.85-13.85,12.850,0.2,2手,10.260,-0.078%
16,02372.HK,2022/06/30,"4,000",5.23-5.56,0.63-0.67,0.630,10.4,20手,0.435,0.000%
17,02246.HK,2022/06/24,200,132.34,21.50,21.500,3.1,1手,2.330,-22.233%
18,06667.HK,2022/06/22,200,43.06-52.63,18.00-22.00,18.000,8.6,20手,10.980,0.000%
19,02347.HK,2022/06/10,"2,000",10.50-13.00,2.10-2.60,2.100,7.4,20手,0.740,0.000%
0,07827.HK,2022/06/10,"110,000",12.51,10.00,10.000,N/A,N/A,9.900,-1.100%
